renderedContent,pre_processed,label_sentiment,probability_sentiment,label_emotion,probability_emotion,label_irony,probability_irony
"Too many shootings, too many lives lost from evil people with power, too much hate, too much depression, and not nearly enough change to stop that. 

I'm gonna be in my apartment hoping every bang I hear tonight is a firework, hoping we as a people can celebrate life without fear",many shootings many lives lost evil people power much hate much depression nearly enough change stop gonna apartment hoping every bang hear tonight firework hoping people celebrate life without fear,negative,0.774803638458252,sadness,0.8093889951705933,non_irony,0.5152103900909424
i hate having to walk back into my depression den after i’ve completely  altered myself in the shower,hate walk back depression den completely altered shower,negative,0.5976681113243103,sadness,0.9655802249908447,non_irony,0.7076764702796936
Seriously. 2019 decided to kick my ass one more time. Now I'm listening to my depression playlist. I hate it here. twitter.com/TarotByBronx/s…,seriously decided kick ass one time listening depression playlist hate,neutral,0.397553414106369,sadness,0.599265992641449,irony,0.5438122153282166
First 2020 depression... yay... 👌🏻 I hate my life.,first depression yay hate life,negative,0.970072865486145,sadness,0.8026379942893982,irony,0.9801984429359436
"I hate that being upfront with your emotional state as an adult is seen as ""attention seeking"" like no I just want you to know I'm not sulking in a corner because I'm mad at you, my brain hasnt had any feel good pharmacy chemicals in a year and its seasonal depression time",hate upfront emotional state adult seen attention seeking like want know sulking corner mad brain hasnt feel good pharmacy chemicals year seasonal depression time,negative,0.9460986256599426,sadness,0.9546685814857483,non_irony,0.8316010236740112
my mom says she’s scared that im not eating because of my depression but literally won’t book me anymore therapy sessions i fucking hate my life dawg,mom says scared eating depression literally book anymore therapy sessions fucking hate life dawg,negative,0.9788339138031006,anger,0.5265323519706726,irony,0.5910746455192566
I’d have to say 2019 was one of the worst years I’ve ever had.  I lost my brother to a heart attack and my niece (who Was like my sister) to depression...  Happened 2 months apart within me moving to a different state (which I hate being here).  Can I move back home in 2020? https://t.co/U3S377FiGV,say one worst years ever lost brother heart attack niece like sister depression happened months apart within moving different state hate move back home,negative,0.9518471956253052,sadness,0.9684603214263916,non_irony,0.9136127233505249
"Every trial, tribulation, and obstacle that came my way this past year tried to corrupt me again... i made it through depression, anxiety, addiction, manipulation, PTSD and just hate in general. Not even the worst of me could get the best of me. Lets do better in 2020. 🥀",every trial tribulation obstacle came way past year tried corrupt made depression anxiety addiction manipulation ptsd hate general even worst could get best lets better,negative,0.7695931792259216,sadness,0.9234439730644226,non_irony,0.8642886281013489
"@realDonaldTrump Don’t like Rush but wish my grandma was alive, she loved the guy and would have liked to see him not be humiliated but uplifted. So much hate for a President who is a narcissist but hey, I have depression. News refuses to report on his accomplishments, so he compliments himself.",like rush wish grandma alive loved guy would liked see humiliated uplifted much hate president narcissist hey depression news refuses report accomplishments compliments,negative,0.6524323225021362,sadness,0.9209232330322266,irony,0.5547825694084167
"So besides losin my dad I had a good year, Went on a baecae to Miami, Got some clarity on things that have bugged me, let go of a few demons n released some of the hate in my heart, started talkin to my mom more, got closer with family, sorta getting this depression under control",besides losin dad good year went baecae miami got clarity things bugged let demons released hate heart started talkin mom got closer family sorta getting depression control,neutral,0.521656334400177,sadness,0.9799078106880188,non_irony,0.7901173830032349
"Something i hate about living with my parents again is that I can't take really long showers without someone saying ""hey u were in there a while"" shut up dad I have depression and I needed to shave",something hate living parents take really long showers without someone saying hey shut dad depression needed shave,negative,0.9321793913841248,anger,0.7772089242935181,irony,0.9475641250610352
I just broke down over allowing my depression to win over me going to ny. I hate myself so much rn,broke allowing depression win going hate much,negative,0.9429681897163391,sadness,0.9604688286781311,irony,0.6908161640167236
"@JustTheClippy My main goal is to be better to myself. I took on a lot of work in 2019, and it drew me to a lot of depression. I want to be able to offer commissions, and also not hate myself for it. Do things I love and not feel stifled.

^_^ It feels good to plan for. https://t.co/o6q503PtEj",main goal better took lot work drew lot depression want able offer commissions also hate things love feel stifled feels good plan,neutral,0.41385313868522644,sadness,0.9383240342140198,non_irony,0.7680110931396484
"@DaquanDMV I hate seeing you like this, especially since you've helped me through my depression.  We here for you bruh",hate seeing like especially since helped depression bruh,negative,0.9288177490234375,sadness,0.9194519519805908,irony,0.6882649660110474
I didn't go over on Christmas because I haven't been up to leaving my bed this past week. Thanks depression. But I will go out tonight. I am excited! Happy end of the decade! I hate being depressed!,christmas leaving bed past week thanks depression tonight excited happy end decade hate depressed,positive,0.7673218250274658,sadness,0.7352822422981262,irony,0.8371766209602356
My wish in 2020 is that i can survive this year like i always does and please depression go away from me i hate you,wish survive year like always please depression away hate,negative,0.4229429066181183,sadness,0.9665008187294006,non_irony,0.6485522389411926
I hate when people ask what I like to do for fun because then I start wondering: do I really enjoy spending all my time watching TV in bed or do I just have really bad depression &lt;3,hate people ask like fun start wondering really enjoy spending time watching bed really bad depression,negative,0.41781240701675415,sadness,0.9588253498077393,irony,0.8491199016571045
"like honeslty not to be dramatic but this really was the most stupidest and wasteful year of my life. I had nothing but anxiety, depression and getting my heart broken by EVERYONE. THANK God it’s gonna be over. I hate it HERE. https://t.co/eBFpuYXayx",like honeslty dramatic really stupidest wasteful year life nothing anxiety depression getting heart broken everyone thank god gonna hate,negative,0.9767977595329285,sadness,0.7422788143157959,irony,0.5852989554405212
i hate that depression makes you like forget legit everything bc i’m trying to fill out my fucking college applications and i can’t remember one thing i’ve done in high school 🤪,hate depression makes like forget legit everything trying fill fucking college applications remember one thing done high school,negative,0.9345353245735168,sadness,0.9151774048805237,irony,0.7116265296936035
Real life accuracy be damned I fucking hate how Pokémon Sword and Shield is cloudy all the damn time. I already have bad depression why the does my escapist video game have to have to come with its own seasonal depression,real life accuracy damned fucking hate pok mon sword shield cloudy damn time already bad depression escapist video game come seasonal depression,negative,0.9789783954620361,sadness,0.5691438913345337,non_irony,0.8646202683448792
"My Major Depressive Disorder is marked as severe on my medical record. I cant just ""mAnaGE mY dEpReSsiOn"" without meds of therapy. 

I hate retail and this planet. There's no help for people like me. Im barred from ANY medical relief because of money.",major depressive disorder marked severe medical record cant manage depression without meds therapy hate retail planet help people like barred medical relief money,negative,0.9042489528656006,sadness,0.9592627882957458,irony,0.6759423017501831
"2/2 in the world we inhabit. so much despair. hypocrisy abounds. anyway, there's so much to solve.  depression, homelessness, hate, just to name a few.   I'll try to do my bit, whether its buying some meals mcd's for someone on the street, or playing ""let it go"" more often. 🕺🤦‍♀️",world inhabit much despair hypocrisy abounds anyway much solve depression homelessness hate name try bit whether buying meals mcd someone street playing let often,negative,0.7049498558044434,sadness,0.9641376733779907,non_irony,0.7386132478713989
"1. GET ACTIVE
I am overweight and have no energy anymore. I hate the way I look in photos and I know all of this is contributing to my anxiety and depression. I need to get moving. In combination with keeping a food diary and working to lose weight...",get active overweight energy anymore hate way look photos know contributing anxiety depression need get moving combination keeping food diary working lose weight,negative,0.7879758477210999,sadness,0.9238258004188538,non_irony,0.6895686388015747
"#TuesdayThoughts No it isn't Wednesday thanks for correcting me Twitter. #NewYearsEve Hate to be a, party pooper but all I feel like doing is sitting alone. I fear my #Depression is coming back somewhat. I hate having to fake having fun noone knows how hard that is day in day out",#tuesdaythoughts wednesday thanks correcting twitter #newyearseve hate party pooper feel like sitting alone fear #depression coming back somewhat hate fake fun noone knows hard day day,negative,0.7114724516868591,sadness,0.9793434739112854,non_irony,0.6618186831474304
@catsofinstagram Like how do people hate these tiny little adorable creatures that literally cured my depression just by being around them. It’s literally impossible to hate them!,like people hate tiny little adorable creatures literally cured depression around literally impossible hate,negative,0.7485905885696411,sadness,0.63021320104599,irony,0.745836079120636
"no more pain 2020
no sadness 2020
no heartbreak 2020
no anxiety 2020
no depression 2020
no fake people 2020
no hate 2020
full of blessings 2020
clearskin 2020
self love 2020
high grades 2020
happiness 2020
good health 2020
full of love 2020

I hope I will have 'my' this year!",pain sadness heartbreak anxiety depression fake people hate full blessings clearskin self love high grades happiness good health full love hope year,positive,0.5338209867477417,sadness,0.9333905577659607,non_irony,0.6744798421859741
"And I'm currently in a state where any motivation for anything is gone, may be post concert depression, may be my cold or something else I don't know. The only thing I know is that I hate this feeling 😕 https://t.co/heOhOBlCDj",currently state motivation anything gone may post concert depression may cold something else know thing know hate feeling,negative,0.693411648273468,sadness,0.9703030586242676,non_irony,0.9414228200912476
israel’s smile literally cured my depression i’ve never seen someone with a cuter smile i hate this man,israel smile literally cured depression never seen someone cuter smile hate man,positive,0.8295033574104309,sadness,0.824774444103241,irony,0.6205357313156128
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.8666945695877075,sadness,0.6709161996841431,non_irony,0.76953125
"@FloofCat I was extremely selfish when I was small. I hated myself back then. Nowadays, my depression is making me numb to emotions, I’ve been more prone to being angry, and I’m constantly feeling an aching pain. I hate myself now. Im glad you decided to share this. It inspires me a little",extremely selfish small hated back nowadays depression making numb emotions prone angry constantly feeling aching pain hate glad decided share inspires little,negative,0.9447585344314575,sadness,0.9405381083488464,non_irony,0.7046338319778442
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year,positive,0.8301808834075928,sadness,0.9071798920631409,non_irony,0.6955880522727966
"(t/w negativity) lmaooo had finally looked forward to spending new year’s w my hometown friends but apparently we’re not meeting up until 9:30 so i’ll have to spend most of the evening doing Nothing w my fam after all. i hate holidays sm, esp new year’s eve. depression here i am.",negativity lmaooo finally looked forward spending new year hometown friends apparently meeting spend evening nothing fam hate holidays esp new year eve depression,positive,0.484270304441452,sadness,0.9515120983123779,irony,0.5713614821434021
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.8666945695877075,sadness,0.6709161996841431,non_irony,0.76953125
"no sadness 2020
no fake friends2020
no hate 2020
no depression 2020
family safety 2020
no pimples2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is my best year. #HappyNewYear2020",sadness fake friends hate depression family safety pimples full love high grades blessed self love healthy lifestyle safe god love forever hope best year #happynewyear,positive,0.8930941224098206,joy,0.4911209046840668,non_irony,0.7125280499458313
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever
I hope 2020 is gonna “my” year. #HappyNewYear2020 https://t.co/1alXLOewy9",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.8666945695877075,sadness,0.6709161996841431,non_irony,0.76953125
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.8666945695877075,sadness,0.6709161996841431,non_irony,0.76953125
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
hydrated 2020
full of love 2020
high grades 2020
blessed 2020
self love 2020
healthy lifestyle 2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks hydrated full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year,positive,0.8323405981063843,sadness,0.8900414109230042,non_irony,0.7537990808486938
Oof my depression shot up. Nico was a bad omen 100%. Three pulls in so far and I only got the Chika SR. Fml man...fuck all stars...why does it hate me so much..,oof depression shot nico bad omen three pulls far got chika fml man fuck stars hate much,negative,0.9708007574081421,anger,0.6343815922737122,non_irony,0.9253531098365784
"#happynewyear2020

no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",#happynewyear sadness fake love hate depression anxiety heartbreaks full love blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.7993423938751221,sadness,0.906121551990509,non_irony,0.8768932223320007
"Sometimes my depression gets so bad I can’t even get out of bed to shower or brush my teeth, for days. I hate it &amp; it causes me to spiral more bc the self loathing really takes over. It’s probably my worst symptom of clinical depression. Like I can’t even have basic hygiene!?🤢",sometimes depression gets bad even get bed shower brush teeth days hate amp causes spiral self loathing really takes probably worst symptom clinical depression like even basic hygiene,negative,0.9712827801704407,sadness,0.9747797846794128,non_irony,0.5888954997062683
"no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year #happynewyear,positive,0.8259056210517883,sadness,0.8216806054115295,non_irony,0.7814062237739563
"Lol how do I block all imagine dragons hate off my tl? Dan Reynolds has changed my life and outlook since I was literally 13 and people are pressed because he’s successful? He’s always just preached for love, depression treatment, and LGBT rights! Keep the hate in 2014 it’s ugly",lol block imagine dragons hate dan reynolds changed life outlook since literally people pressed successful always preached love depression treatment lgbt rights keep hate ugly,negative,0.6805132031440735,anger,0.815955400466919,irony,0.8960468769073486
"Just finished registering for classes for spring. Sad I have to retake a class but maybe a new campus might help me. 

I hate that my depression and anxiety is getting in the way of my future. At least I don't want to die like I used to..",finished registering classes spring sad retake class maybe new campus might help hate depression anxiety getting way future least want die like used,negative,0.8187549114227295,sadness,0.9809982776641846,non_irony,0.6089277267456055
"I just don’t understand why everything has to be so expensive, I mean electronics I understand but I hate that clothes are now too. If you’re a independent creator/stylist (not sure what to call them) like on Etsy I get the price but still it doesn’t help my depression twitter.com/KitKorri/statu…",understand everything expensive mean electronics understand hate clothes independent creator stylist sure call like etsy get price still help depression,negative,0.46428003907203674,sadness,0.9315683841705322,non_irony,0.5373863577842712
"to my sister : what to say ? im really freaking sorry that i made you felt that way, im sorry for being the reason you had severe depression, i tried my best to remove myself from your side but i actually cant bcs i cared abt you. im sorry you hate me so freaking much.",sister say really freaking sorry made felt way sorry reason severe depression tried best remove side actually cant bcs cared abt sorry hate freaking much,negative,0.9206163287162781,sadness,0.7402698397636414,non_irony,0.7601287961006165
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
hydrated 2020
full of love 2020
high grades 2020
blessed 2020
self love 2020
healthy lifestyle 2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks hydrated full love high grades blessed self love healthy lifestyle safe god love forever hope gonna year,positive,0.8323405981063843,sadness,0.8900414109230042,non_irony,0.7537990808486938
