renderedContent,pre_processed,label_sentiment,probability_sentiment,label_emotion,probability_emotion,label_irony,probability_irony,
"Too many shootings, too many lives lost from evil people with power, too much hate, too much depression, and not nearly enough change to stop that. 

I'm gonna be in my apartment hoping every bang I hear tonight is a firework, hoping we as a people can celebrate life without fear",many shootings many lives lost evil people power much hate much depression nearly enough change stop gonna apartment hoping every bang hear tonight firework hoping people celebrate life without fear,negative,0.774803638,sadness,0.809388995,non_irony,0.51521039,
i hate having to walk back into my depression den after i’ve completely  altered myself in the shower,hate walk back depression den ive completely altered shower,negative,0.625360191,sadness,0.970212579,non_irony,0.689078093,
Seriously. 2019 decided to kick my ass one more time. Now I'm listening to my depression playlist. I hate it here. twitter.com/TarotByBronx/s…,seriously decided kick ass one time listening depression playlist hate,neutral,0.397553414,sadness,0.599265993,irony,0.543812215,
First 2020 depression... yay... 👌🏻 I hate my life.,first depression yay hate life,negative,0.970072865,sadness,0.802637994,irony,0.980198443,
"I hate that being upfront with your emotional state as an adult is seen as ""attention seeking"" like no I just want you to know I'm not sulking in a corner because I'm mad at you, my brain hasnt had any feel good pharmacy chemicals in a year and its seasonal depression time",hate upfront emotional state adult seen attention seeking like want know sulking corner mad brain hasnt feel good pharmacy chemicals year seasonal depression time,negative,0.946098626,sadness,0.954668581,non_irony,0.831601024,
my mom says she’s scared that im not eating because of my depression but literally won’t book me anymore therapy sessions i fucking hate my life dawg,mom says shes scared eating depression literally wont book anymore therapy sessions fucking hate life dawg,negative,0.981195211,sadness,0.569788516,irony,0.529415369,
I’d have to say 2019 was one of the worst years I’ve ever had.  I lost my brother to a heart attack and my niece (who Was like my sister) to depression...  Happened 2 months apart within me moving to a different state (which I hate being here).  Can I move back home in 2020? https://t.co/U3S377FiGV,say one worst years ive ever lost brother heart attack niece like sister depression happened months apart within moving different state hate move back home,negative,0.962306201,sadness,0.96677047,non_irony,0.923668802,
"Every trial, tribulation, and obstacle that came my way this past year tried to corrupt me again... i made it through depression, anxiety, addiction, manipulation, PTSD and just hate in general. Not even the worst of me could get the best of me. Lets do better in 2020. 🥀",every trial tribulation obstacle came way past year tried corrupt made depression anxiety addiction manipulation ptsd hate general even worst could get best lets better,negative,0.769593179,sadness,0.923443973,non_irony,0.864288628,
"@realDonaldTrump Don’t like Rush but wish my grandma was alive, she loved the guy and would have liked to see him not be humiliated but uplifted. So much hate for a President who is a narcissist but hey, I have depression. News refuses to report on his accomplishments, so he compliments himself.",dont like rush wish grandma alive loved guy would liked see humiliated uplifted much hate president narcissist hey depression news refuses report accomplishments compliments,negative,0.820675731,sadness,0.935437918,non_irony,0.692469954,
"So besides losin my dad I had a good year, Went on a baecae to Miami, Got some clarity on things that have bugged me, let go of a few demons n released some of the hate in my heart, started talkin to my mom more, got closer with family, sorta getting this depression under control",besides losin dad good year went baecae miami got clarity things bugged let demons released hate heart started talkin mom got closer family sorta getting depression control,neutral,0.521656334,sadness,0.979907811,non_irony,0.790117383,
"Something i hate about living with my parents again is that I can't take really long showers without someone saying ""hey u were in there a while"" shut up dad I have depression and I needed to shave",something hate living parents take really long showers without someone saying hey shut dad depression needed shave,negative,0.932179391,anger,0.777208924,irony,0.947564125,
I just broke down over allowing my depression to win over me going to ny. I hate myself so much rn,broke allowing depression win going hate much,negative,0.94296819,sadness,0.960468829,irony,0.690816164,
"@JustTheClippy My main goal is to be better to myself. I took on a lot of work in 2019, and it drew me to a lot of depression. I want to be able to offer commissions, and also not hate myself for it. Do things I love and not feel stifled.

^_^ It feels good to plan for. https://t.co/o6q503PtEj",main goal better took lot work drew lot depression want able offer commissions also hate things love feel stifled feels good plan,neutral,0.413853139,sadness,0.938324034,non_irony,0.768011093,
"@DaquanDMV I hate seeing you like this, especially since you've helped me through my depression.  We here for you bruh",hate seeing like especially since helped depression bruh,negative,0.928817749,sadness,0.919451952,irony,0.688264966,
I didn't go over on Christmas because I haven't been up to leaving my bed this past week. Thanks depression. But I will go out tonight. I am excited! Happy end of the decade! I hate being depressed!,christmas leaving bed past week thanks depression tonight excited happy end decade hate depressed,positive,0.767321825,sadness,0.735282242,irony,0.837176621,
My wish in 2020 is that i can survive this year like i always does and please depression go away from me i hate you,wish survive year like always please depression away hate,negative,0.422942907,sadness,0.966500819,non_irony,0.648552239,
I hate when people ask what I like to do for fun because then I start wondering: do I really enjoy spending all my time watching TV in bed or do I just have really bad depression &lt;3,hate people ask like fun start wondering really enjoy spending time watching bed really bad depression,negative,0.417812407,sadness,0.95882535,irony,0.849119902,
"like honeslty not to be dramatic but this really was the most stupidest and wasteful year of my life. I had nothing but anxiety, depression and getting my heart broken by EVERYONE. THANK God it’s gonna be over. I hate it HERE. https://t.co/eBFpuYXayx",like honeslty dramatic really stupidest wasteful year life nothing anxiety depression getting heart broken everyone thank god gonna hate,negative,0.97679776,sadness,0.742278814,irony,0.585298955,
i hate that depression makes you like forget legit everything bc i’m trying to fill out my fucking college applications and i can’t remember one thing i’ve done in high school 🤪,hate depression makes like forget legit everything trying fill fucking college applications cant remember one thing ive done high school,negative,0.956787705,sadness,0.930797994,irony,0.572318733,
Real life accuracy be damned I fucking hate how Pokémon Sword and Shield is cloudy all the damn time. I already have bad depression why the does my escapist video game have to have to come with its own seasonal depression,real life accuracy damned fucking hate pokmon sword shield cloudy damn time already bad depression escapist video game come seasonal depression,negative,0.979828596,sadness,0.603079021,non_irony,0.863773525,
"My Major Depressive Disorder is marked as severe on my medical record. I cant just ""mAnaGE mY dEpReSsiOn"" without meds of therapy. 

I hate retail and this planet. There's no help for people like me. Im barred from ANY medical relief because of money.",major depressive disorder marked severe medical record cant manage depression without meds therapy hate retail planet help people like barred medical relief money,negative,0.904248953,sadness,0.959262788,irony,0.675942302,
"2/2 in the world we inhabit. so much despair. hypocrisy abounds. anyway, there's so much to solve.  depression, homelessness, hate, just to name a few.   I'll try to do my bit, whether its buying some meals mcd's for someone on the street, or playing ""let it go"" more often. 🕺🤦‍♀️",world inhabit much despair hypocrisy abounds anyway much solve depression homelessness hate name try bit whether buying meals mcd someone street playing let often,negative,0.704949856,sadness,0.964137673,non_irony,0.738613248,
"1. GET ACTIVE
I am overweight and have no energy anymore. I hate the way I look in photos and I know all of this is contributing to my anxiety and depression. I need to get moving. In combination with keeping a food diary and working to lose weight...",get active overweight energy anymore hate way look photos know contributing anxiety depression need get moving combination keeping food diary working lose weight,negative,0.787975848,sadness,0.9238258,non_irony,0.689568639,
"#TuesdayThoughts No it isn't Wednesday thanks for correcting me Twitter. #NewYearsEve Hate to be a, party pooper but all I feel like doing is sitting alone. I fear my #Depression is coming back somewhat. I hate having to fake having fun noone knows how hard that is day in day out",#tuesdaythoughts wednesday thanks correcting twitter #newyearseve hate party pooper feel like sitting alone fear #depression coming back somewhat hate fake fun noone knows hard day day,negative,0.711472452,sadness,0.979343474,non_irony,0.661818683,
@catsofinstagram Like how do people hate these tiny little adorable creatures that literally cured my depression just by being around them. It’s literally impossible to hate them!,like people hate tiny little adorable creatures literally cured depression around literally impossible hate,negative,0.748590589,sadness,0.630213201,irony,0.745836079,
"no more pain 2020
no sadness 2020
no heartbreak 2020
no anxiety 2020
no depression 2020
no fake people 2020
no hate 2020
full of blessings 2020
clearskin 2020
self love 2020
high grades 2020
happiness 2020
good health 2020
full of love 2020

I hope I will have 'my' this year!",pain sadness heartbreak anxiety depression fake people hate full blessings clearskin self love high grades happiness good health full love hope year,positive,0.533820987,sadness,0.933390558,non_irony,0.674479842,
"And I'm currently in a state where any motivation for anything is gone, may be post concert depression, may be my cold or something else I don't know. The only thing I know is that I hate this feeling 😕 https://t.co/heOhOBlCDj",currently state motivation anything gone may post concert depression may cold something else know thing know hate feeling,negative,0.693411648,sadness,0.970303059,non_irony,0.94142282,
israel’s smile literally cured my depression i’ve never seen someone with a cuter smile i hate this man,israels smile literally cured depression ive never seen someone cuter smile hate man,positive,0.862500191,sadness,0.790989876,irony,0.544068873,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.849334896,sadness,0.663780212,non_irony,0.757670283,
"@FloofCat I was extremely selfish when I was small. I hated myself back then. Nowadays, my depression is making me numb to emotions, I’ve been more prone to being angry, and I’m constantly feeling an aching pain. I hate myself now. Im glad you decided to share this. It inspires me a little",extremely selfish small hated back nowadays depression making numb emotions ive prone angry constantly feeling aching pain hate glad decided share inspires little,negative,0.94931978,sadness,0.936986566,non_irony,0.744410872,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year,positive,0.805633903,sadness,0.911932051,non_irony,0.68935287,
"(t/w negativity) lmaooo had finally looked forward to spending new year’s w my hometown friends but apparently we’re not meeting up until 9:30 so i’ll have to spend most of the evening doing Nothing w my fam after all. i hate holidays sm, esp new year’s eve. depression here i am.",negativity lmaooo finally looked forward spending new years hometown friends apparently meeting ill spend evening nothing fam hate holidays esp new years eve depression,positive,0.458050787,sadness,0.952276468,irony,0.602510452,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.849334896,sadness,0.663780212,non_irony,0.757670283,
"no sadness 2020
no fake friends2020
no hate 2020
no depression 2020
family safety 2020
no pimples2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is my best year. #HappyNewYear2020",sadness fake friends hate depression family safety pimples full love high grades blessed self love healthy lifestyle safe gods love forever hope best year #happynewyear,positive,0.886213064,joy,0.511323214,non_irony,0.689074099,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever
I hope 2020 is gonna “my” year. #HappyNewYear2020 https://t.co/1alXLOewy9",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.849334896,sadness,0.663780212,non_irony,0.757670283,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",pimples sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.849334896,sadness,0.663780212,non_irony,0.757670283,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
hydrated 2020
full of love 2020
high grades 2020
blessed 2020
self love 2020
healthy lifestyle 2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks hydrated full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year,positive,0.813533306,sadness,0.888550282,non_irony,0.758641481,
Oof my depression shot up. Nico was a bad omen 100%. Three pulls in so far and I only got the Chika SR. Fml man...fuck all stars...why does it hate me so much..,oof depression shot nico bad omen three pulls far got chika fml man fuck stars hate much,negative,0.970800757,anger,0.634381592,non_irony,0.92535311,
"#happynewyear2020

no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",#happynewyear sadness fake love hate depression anxiety heartbreaks full love blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.781412005,sadness,0.895624757,non_irony,0.87027508,
"Sometimes my depression gets so bad I can’t even get out of bed to shower or brush my teeth, for days. I hate it &amp; it causes me to spiral more bc the self loathing really takes over. It’s probably my worst symptom of clinical depression. Like I can’t even have basic hygiene!?🤢",sometimes depression gets bad cant even get bed shower brush teeth days hate amp causes spiral self loathing really takes probably worst symptom clinical depression like cant even basic hygiene,negative,0.977286935,sadness,0.973348975,non_irony,0.6972363,
"no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
full of love 2020
high grades 2020
blessed2020
self love2020
healthy lifestyle2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year. #HappyNewYear2020",sadness fake love hate depression anxiety heartbreaks full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year #happynewyear,positive,0.806484699,sadness,0.811444283,non_irony,0.775811791,
"Lol how do I block all imagine dragons hate off my tl? Dan Reynolds has changed my life and outlook since I was literally 13 and people are pressed because he’s successful? He’s always just preached for love, depression treatment, and LGBT rights! Keep the hate in 2014 it’s ugly",lol block imagine dragons hate dan reynolds changed life outlook since literally people pressed hes successful hes always preached love depression treatment lgbt rights keep hate ugly,negative,0.457477212,anger,0.749972999,irony,0.814346552,
"Just finished registering for classes for spring. Sad I have to retake a class but maybe a new campus might help me. 

I hate that my depression and anxiety is getting in the way of my future. At least I don't want to die like I used to..",finished registering classes spring sad retake class maybe new campus might help hate depression anxiety getting way future least want die like used,negative,0.818754911,sadness,0.980998278,non_irony,0.608927727,
"I just don’t understand why everything has to be so expensive, I mean electronics I understand but I hate that clothes are now too. If you’re a independent creator/stylist (not sure what to call them) like on Etsy I get the price but still it doesn’t help my depression twitter.com/KitKorri/statu…",dont understand everything expensive mean electronics understand hate clothes youre independent creator stylist sure call like etsy get price still doesnt help depression,negative,0.90212965,sadness,0.863236725,non_irony,0.77151823,
"to my sister : what to say ? im really freaking sorry that i made you felt that way, im sorry for being the reason you had severe depression, i tried my best to remove myself from your side but i actually cant bcs i cared abt you. im sorry you hate me so freaking much.",sister say really freaking sorry made felt way sorry reason severe depression tried best remove side actually cant bcs cared abt sorry hate freaking much,negative,0.920616329,sadness,0.74026984,non_irony,0.760128796,
"no pimples 2020
no sadness 2020
no fake love 2020
no hate 2020
no depression 2020
no anxiety 2020
no heartbreaks 2020
hydrated 2020
full of love 2020
high grades 2020
blessed 2020
self love 2020
healthy lifestyle 2020
safe 2020
God’s love forever

I hope 2020 is gonna “my” year.",pimples sadness fake love hate depression anxiety heartbreaks hydrated full love high grades blessed self love healthy lifestyle safe gods love forever hope gonna year,positive,0.813533306,sadness,0.888550282,non_irony,0.758641481,
I hate when my depression hits me at times because I really do forget my worth.,hate depression hits times really forget worth,negative,0.941613734,sadness,0.982238889,non_irony,0.558264613,
For some reason my family has a hard time understanding insomnia. Like bro it’s not that hard understand it just means my depression and anxiety hate me and so they take it out my sleep,reason family hard time understanding insomnia like bro hard understand means depression anxiety hate take sleep,negative,0.9029966,sadness,0.966107368,non_irony,0.504936635,
i hate my friends bc when we were in the theatre watching frozen and anna was singing in the cave and its mad quiet this bitch goes “okay bitch its called depression”,hate friends theatre watching frozen anna singing cave mad quiet bitch goes okay bitch called depression,negative,0.921719253,sadness,0.884422064,irony,0.666209221,
