renderedContent,pre_processed,label_sentiment,probability_sentiment,label_emotion,probability_emotion,label_irony,probability_irony
"Too many shootings, too many lives lost from evil people with power, too much hate, too much depression, and not nearly enough change to stop that. 

I'm gonna be in my apartment hoping every bang I hear tonight is a firework, hoping we as a people can celebrate life without fear",many shootings many lives lost evil people power much hate much depression not nearly enough change stop gonna apartment hoping every bang hear tonight firework hoping people celebrate life without fear,negative,0.8275293707847595,sadness,0.860076904296875,non_irony,0.5039722323417664
i hate having to walk back into my depression den after i’ve completely  altered myself in the shower,hate walk back depression den completely altered shower,negative,0.5976681113243103,sadness,0.9655802249908447,non_irony,0.7076764702796936
Seriously. 2019 decided to kick my ass one more time. Now I'm listening to my depression playlist. I hate it here. twitter.com/TarotByBronx/s…,seriously decided kick ass one time listening depression playlist hate,neutral,0.397553414106369,sadness,0.599265992641449,irony,0.5438122153282166
First 2020 depression... yay... 👌🏻 I hate my life.,first depression yay hate life,negative,0.970072865486145,sadness,0.8026379942893982,irony,0.9801984429359436
"I hate that being upfront with your emotional state as an adult is seen as ""attention seeking"" like no I just want you to know I'm not sulking in a corner because I'm mad at you, my brain hasnt had any feel good pharmacy chemicals in a year and its seasonal depression time",hate upfront emotional state adult seen attention seeking like no want know not sulking corner mad brain hasnt feel good pharmacy chemicals year seasonal depression time,negative,0.9519761204719543,sadness,0.9469730854034424,non_irony,0.8844479322433472
my mom says she’s scared that im not eating because of my depression but literally won’t book me anymore therapy sessions i fucking hate my life dawg,mom says scared im not eating depression literally book anymore therapy sessions fucking hate life dawg,negative,0.9785723686218262,sadness,0.570153534412384,non_irony,0.7091745138168335
I’d have to say 2019 was one of the worst years I’ve ever had.  I lost my brother to a heart attack and my niece (who Was like my sister) to depression...  Happened 2 months apart within me moving to a different state (which I hate being here).  Can I move back home in 2020? https://t.co/U3S377FiGV,say one worst years ever lost brother heart attack niece like sister depression happened months apart within moving different state hate move back home,negative,0.9518471956253052,sadness,0.9684603214263916,non_irony,0.9136127233505249
"Every trial, tribulation, and obstacle that came my way this past year tried to corrupt me again... i made it through depression, anxiety, addiction, manipulation, PTSD and just hate in general. Not even the worst of me could get the best of me. Lets do better in 2020. 🥀",every trial tribulation obstacle came way past year tried corrupt made depression anxiety addiction manipulation ptsd hate general not even worst could get best lets better,negative,0.7589430212974548,sadness,0.9345629215240479,non_irony,0.8861023783683777
"@realDonaldTrump Don’t like Rush but wish my grandma was alive, she loved the guy and would have liked to see him not be humiliated but uplifted. So much hate for a President who is a narcissist but hey, I have depression. News refuses to report on his accomplishments, so he compliments himself.",like rush wish grandma alive loved guy would liked see not humiliated uplifted much hate president narcissist hey depression news refuses report accomplishments compliments,negative,0.5860776901245117,sadness,0.8956384062767029,non_irony,0.5598123073577881
"So besides losin my dad I had a good year, Went on a baecae to Miami, Got some clarity on things that have bugged me, let go of a few demons n released some of the hate in my heart, started talkin to my mom more, got closer with family, sorta getting this depression under control",besides losin dad good year went baecae miami got clarity things bugged let go demons released hate heart started talkin mom got closer family sorta getting depression control,neutral,0.5010363459587097,sadness,0.9808191061019897,non_irony,0.8129071593284607
"Something i hate about living with my parents again is that I can't take really long showers without someone saying ""hey u were in there a while"" shut up dad I have depression and I needed to shave",something hate living parents take really long showers without someone saying hey shut dad depression needed shave,negative,0.9321793913841248,anger,0.7772089242935181,irony,0.9475641250610352
I just broke down over allowing my depression to win over me going to ny. I hate myself so much rn,broke allowing depression win going ny hate much rn,negative,0.8929752707481384,sadness,0.9677273035049438,irony,0.6189690232276917
"@JustTheClippy My main goal is to be better to myself. I took on a lot of work in 2019, and it drew me to a lot of depression. I want to be able to offer commissions, and also not hate myself for it. Do things I love and not feel stifled.

^_^ It feels good to plan for. https://t.co/o6q503PtEj",main goal better took lot work drew lot depression want able offer commissions also not hate things love not feel stifled feels good plan,positive,0.7867687940597534,optimism,0.6190640330314636,non_irony,0.8409750461578369
"@DaquanDMV I hate seeing you like this, especially since you've helped me through my depression.  We here for you bruh",hate seeing like especially since helped depression bruh,negative,0.9288177490234375,sadness,0.9194519519805908,irony,0.6882649660110474
